"filename", "language", "Python", "Markdown", "C++", "Properties", "Shell Script", "PowerShell", "JSON", "HTML", "JavaScript", "PostCSS", "XML", "reStructuredText", "comment", "blank", "total"
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/pgbufferproxy.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/pgcompat.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 28
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/pgopengl.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/pgplatform.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 24
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/pygame.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 33
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/scrap.h", "C++", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 16, 148
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/simd_blitters.h", "C++", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 85
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/surface.h", "C++", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 41, 362
"/home/david/DVHS Robotics/vex-soy-sauce/venv/lib/python3.12/site-packages/PIL/AvifImagePlugin.py", "Python", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 51, 294
"/home/david/DVHS Robotics/vex-soy-sauce/venv/lib/python3.12/site-packages/PIL/BdfFontFile.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 124
